,Generation,Index
1321,45,2265
1322,45,1575
1323,45,1215
1324,45,2270
1325,45,1276
1326,45,1250
1327,45,2264
1328,45,1402
1329,45,1579
1330,45,2266
1331,45,1581
1332,45,1178
1333,45,1313
1334,45,1417
1335,45,2271
1336,45,2272
1337,45,1316
1338,45,1256
1339,45,1348
1340,45,1586
1341,45,2273
1342,45,2268
1343,45,1419
1344,45,1307
1345,45,2269
1346,45,1307
1347,45,1250
1348,45,1244
1349,45,1307
1350,46,1405
1351,46,2265
1352,46,1575
1353,46,1215
1354,46,2270
1355,46,1276
1356,46,1250
1357,46,2264
1358,46,1578
1359,46,1579
1360,46,2266
1361,46,1581
1362,46,1582
1363,46,1313
1364,46,2274
1365,46,2275
1366,46,2276
1367,46,1316
1368,46,1256
1369,46,1348
1370,46,1586
1371,46,1587
1372,46,2277
1373,46,1419
1374,46,1307
1375,46,2269
1376,46,1307
1377,46,1250
1378,46,1244
1379,46,1307
1380,47,1558
1381,47,2265
1382,47,1575
1383,47,1215
1384,47,2270
1385,47,1276
1386,47,1250
1387,47,2264
1388,47,1578
1389,47,1579
1390,47,2266
1391,47,1581
1392,47,1582
1393,47,1313
1394,47,1580
1395,47,2278
1396,47,2276
1397,47,1585
1398,47,1256
1399,47,1348
1400,47,1586
1401,47,1587
1402,47,2277
1403,47,1419
1404,47,1307
1405,47,2279
1406,47,1307
1407,47,1250
1408,47,2270
1409,47,1307
1410,48,1558
1411,48,2280
1412,48,1575
1413,48,1215
1414,48,2270
1415,48,1276
1416,48,1250
1417,48,2264
1418,48,1578
1419,48,1579
1420,48,2266
1421,48,1581
1422,48,1582
1423,48,1576
1424,48,1580
1425,48,2281
1426,48,2276
1427,48,1585
1428,48,1256
1429,48,1348
1430,48,1586
1431,48,1587
1432,48,2277
1433,48,1419
1434,48,1578
1435,48,2282
1436,48,1590
1437,48,1250
1438,48,2270
1439,48,1592
1440,49,1558
1441,49,2280
1442,49,1575
1443,49,1215
1444,49,1576
1445,49,1276
1446,49,1250
1447,49,1577
1448,49,1578
1449,49,1579
1450,49,2266
1451,49,1581
1452,49,1582
1453,49,1576
1454,49,1580
1455,49,1583
1456,49,2276
1457,49,1585
1458,49,1256
1459,49,1348
1460,49,1586
1461,49,1587
1462,49,1588
1463,49,1419
1464,49,1578
1465,49,2283
1466,49,1590
1467,49,1250
1468,49,1591
1469,49,1592
1470,50,1558
1471,50,1574
1472,50,1575
1473,50,1215
1474,50,1576
1475,50,1276
1476,50,1250
1477,50,1577
1478,50,1578
1479,50,1579
1480,50,1580
1481,50,1581
1482,50,1582
1483,50,1576
1484,50,1580
1485,50,1583
1486,50,1584
1487,50,1585
1488,50,1256
1489,50,1348
1490,50,1586
1491,50,1587
1492,50,1588
1493,50,1419
1494,50,1578
1495,50,1589
1496,50,1590
1497,50,1250
1498,50,1591
1499,50,1592
1500,51,1558
1501,51,1574
1502,51,1558
1503,51,1215
1504,51,1576
1505,51,1276
1506,51,1625
1507,51,1577
1508,51,1578
1509,51,1579
1510,51,1580
1511,51,1623
1512,51,1582
1513,51,1576
1514,51,1580
1515,51,1583
1516,51,1607
1517,51,1585
1518,51,1256
1519,51,1636
1520,51,1586
1521,51,1587
1522,51,1588
1523,51,1419
1524,51,1578
1525,51,1589
1526,51,1590
1527,51,1632
1528,51,1591
1529,51,1592
1530,52,1558
1531,52,1574
1532,52,1558
1533,52,1674
1534,52,1576
1535,52,1578
1536,52,1625
1537,52,1577
1538,52,1578
1539,52,1579
1540,52,1580
1541,52,1623
1542,52,1582
1543,52,1576
1544,52,1580
1545,52,1583
1546,52,1607
1547,52,1585
1548,52,1256
1549,52,1638
1550,52,1586
1551,52,1587
1552,52,1588
1553,52,1419
1554,52,1578
1555,52,1640
1556,52,1590
1557,52,1632
1558,52,1591
1559,52,1592
1560,53,1689
1561,53,1574
1562,53,1698
1563,53,1674
1564,53,1576
1565,53,1578
1566,53,1625
1567,53,1577
1568,53,1578
1569,53,1579
1570,53,1580
1571,53,1623
1572,53,1710
1573,53,1576
1574,53,1580
1575,53,1583
1576,53,1578
1577,53,1585
1578,53,1256
1579,53,1702
1580,53,1586
1581,53,1587
1582,53,1588
1583,53,1419
1584,53,1578
1585,53,1640
