,0,1,2,3,4,5,6,7,8,9,10
46,0.0,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,1.6151956391242166,-0.0,-0.0,0.0
47,0.0,-0.0,9.758150839437288,-8.77,-0.0,6.441546998862989,0.0,0.0,-0.0,-0.0,0.0
48,0.0,8.067367687157507,9.758150839437288,-8.77,-0.0,-0.0,-7.857267047626635,-6.328322801738782,-0.0,-0.0,0.0
49,1.82,-0.0,9.758150839437288,-8.77,-0.0,-7.910740620277615,0.0,0.0,-0.0,-0.0,0.0
50,1.82,-0.0,9.758150839437288,-8.77,-0.0,1.9660346382766534,0.0,0.0,-0.0,-0.0,0.0
51,0.0,-0.0,9.758150839437288,-8.77,-0.0,-0.0,-7.857267047626635,0.0,-0.0,-7.904115545979229,0.0
52,1.82,-0.0,7.93829401655757,-8.77,-0.0,-0.0,-7.857267047626635,0.0,-0.0,-0.0,-2.9807481469753476
53,0.0,3.6072300368089074,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-3.979712129136635
54,0.0,-0.0,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,-7.510403074010035,-0.0,0.0
55,0.0,-0.0,9.758150839437288,-8.77,-2.2236395859646603,-0.0,0.0,0.0,-0.0,-0.0,0.0
56,-3.452684595696674,-0.0,9.758150839437288,-1.8006877915022717,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
57,-3.452684595696674,-4.420481471474549,9.758150839437288,-1.8006877915022717,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.8995395041900061
58,0.0,-0.0,9.758150839437288,-8.77,-9.453156195900828,-0.0,0.0,0.0,-0.0,-0.0,0.0
59,0.0,-0.0,-7.933951622935771,-8.77,-6.11909853037689,-9.019603356329833,0.0,0.0,-0.0,-0.0,-9.594428742444896
60,0.0,-0.0,9.758150839437288,-6.81524252560441,-1.7073647104067113,-0.0,0.0,-7.1792417287408465,-0.0,-0.0,0.0
61,0.0,-9.34278275833779,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
62,0.0,-0.0,9.758150839437288,-8.77,-0.0,-0.0,-8.54275156253144,-6.175536020092713,-0.0,3.8096067152840813,0.0
63,0.0,-9.34278275833779,9.758150839437288,-8.77,-0.0,-0.0,-8.54275156253144,-6.175536020092713,-0.0,7.880083271949044,0.0
64,0.0,-0.0,9.758150839437288,-8.77,5.427164153967571,-0.0,0.0,0.0,-0.0,-7.389359192903299,0.0
65,0.0,-0.0,-2.635016140846858,-8.77,5.427164153967571,-0.0,0.0,0.0,-0.0,-7.389359192903299,0.0
66,0.0,-0.0,-2.635016140846858,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
67,0.0,-0.0,9.758150839437288,-8.77,5.427164153967571,1.4834512179411696,0.0,0.0,-0.0,-7.389359192903299,0.0
68,0.0,-0.0,9.758150839437288,-0.1591061872299111,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
69,0.0,-0.0,-2.635016140846858,-8.77,4.481634393778478,-0.0,0.0,0.0,-0.0,-0.0,0.0
70,0.0,-9.34278275833779,9.758150839437288,-8.77,-0.0,-0.0,0.0,-0.9157854699299612,-0.0,-0.0,0.0
71,0.0,-9.34278275833779,-2.635016140846858,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
72,0.0,-9.34278275833779,9.758150839437288,-8.77,3.2792688099642593,-0.0,9.69383431947863,0.0,-0.0,-0.0,0.0
73,0.0,7.214972296696899,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,6.878713868308111,-0.0,0.0
74,0.0,-9.34278275833779,9.758150839437288,-8.77,-5.401996242050055,-0.0,0.0,-4.324987609512416,-0.0,-0.0,0.0
75,0.0,-0.0,-2.635016140846858,-8.77,8.388859818355805,-0.0,0.0,-8.728548387876005,-0.0,-0.0,0.0
76,0.0,-9.34278275833779,4.001354751414286,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
77,0.0,-3.2258616358557983,9.758150839437288,-8.77,-0.0,-7.167672490334482,-4.406872198570387,0.0,-0.0,-0.0,7.87551977257538
78,0.0,-1.9552490275709982,9.758150839437288,-8.77,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
